URL,Performance Desktop,Performance Mobile,Acciones sugeridas
https://publish-p110903-e1421633.adobeaemcloud.com/pensiones/regimen-issste-cuenta-individual,61,48,Largest Contentful Paint | Total Blocking Time | Speed Index | Optimize DOM size | Improve image delivery | Use efficient cache lifetimes | Render blocking requests | Time to Interactive | Forced reflow | Max Potential First Input Delay | First Contentful Paint
https://publish-p110903-e1421633.adobeaemcloud.com/pensiones/tramites,56,49,Total Blocking Time | Speed Index | Improve image delivery | First Contentful Paint | Optimize DOM size | Largest Contentful Paint | Max Potential First Input Delay | Render blocking requests | Time to Interactive | Use efficient cache lifetimes | Forced reflow
https://publish-p110903-e1421633.adobeaemcloud.com/afore,Error,45,Total Blocking Time | Speed Index | Largest Contentful Paint | Optimize DOM size | Network dependency tree | Max Potential First Input Delay | First Contentful Paint | LCP request discovery | Forced reflow | Time to Interactive
https://publish-p110903-e1421633.adobeaemcloud.com/afore/tramites.html?tramite=ahorro-voluntario,57,47,Max Potential First Input Delay | Time to Interactive | Largest Contentful Paint | Render blocking requests | Optimize DOM size | Speed Index | Improve image delivery | Total Blocking Time | Use efficient cache lifetimes | First Contentful Paint
https://publish-p110903-e1421633.adobeaemcloud.com/afore/tramites.html?tramite=estado-de-cuenta,65,36,Total Blocking Time | Max Potential First Input Delay | First Contentful Paint | Render blocking requests | Forced reflow | Largest Contentful Paint | Speed Index | Use efficient cache lifetimes | Improve image delivery | Time to Interactive | Optimize DOM size
https://publish-p110903-e1421633.adobeaemcloud.com/afore/tramites,56,36,Max Potential First Input Delay | Speed Index | Improve image delivery | Render blocking requests | Largest Contentful Paint | Optimize DOM size | Time to Interactive | Use efficient cache lifetimes | First Contentful Paint | Total Blocking Time
https://publish-p110903-e1421633.adobeaemcloud.com/perspectiva-economica,62,59,Layout shift culprits | Speed Index | Network dependency tree | Cumulative Layout Shift | First Contentful Paint | Largest Contentful Paint | Time to Interactive | Forced reflow
https://publish-p110903-e1421633.adobeaemcloud.com/que-son-las-minusvalias,76,52,Total Blocking Time | Time to Interactive | Max Potential First Input Delay | First Contentful Paint | Largest Contentful Paint | Network dependency tree | Forced reflow | Speed Index
https://publish-p110903-e1421633.adobeaemcloud.com/que-es-el-cambio-quinquenal-de-las-afores,69,46,Forced reflow | Time to Interactive | Speed Index | Total Blocking Time | Max Potential First Input Delay | First Contentful Paint | Largest Contentful Paint | Network dependency tree | LCP request discovery | Optimize DOM size
https://publish-p110903-e1421633.adobeaemcloud.com/reportes-financieros?sidebarId=sidebar-pensiones,58,40,First Contentful Paint | Total Blocking Time | Time to Interactive | Network dependency tree | Speed Index | Max Potential First Input Delay | Largest Contentful Paint
https://publish-p110903-e1421633.adobeaemcloud.com/voluntariado,66,45,Largest Contentful Paint | Network dependency tree | Speed Index | First Contentful Paint | Total Blocking Time | Max Potential First Input Delay | Time to Interactive | Optimize DOM size
https://afore.profuturo.mx/por-que-profuturo,54,25,Largest Contentful Paint | Layout shift culprits | Network dependency tree | Time to Interactive | Speed Index | Cumulative Layout Shift | LCP request discovery | Max Potential First Input Delay | First Contentful Paint | Total Blocking Time | Forced reflow
https://afore.profuturo.mx/en-que-afore-estoy,44,18,Speed Index | First Contentful Paint | Network dependency tree | Max Potential First Input Delay | Largest Contentful Paint | Layout shift culprits | Forced reflow | Cumulative Layout Shift | Time to Interactive | Total Blocking Time
https://afore.profuturo.mx/registro,54,20,Time to Interactive | Cumulative Layout Shift | First Contentful Paint | Largest Contentful Paint | Total Blocking Time | Forced reflow | Speed Index | Network dependency tree | Layout shift culprits | Max Potential First Input Delay
https://afore.profuturo.mx/que-es-una-afore,45,40,Total Blocking Time | Time to Interactive | Max Potential First Input Delay | LCP request discovery | First Contentful Paint | Speed Index | Forced reflow | Cumulative Layout Shift | Largest Contentful Paint | Network dependency tree | Layout shift culprits
https://publish-p110903-e1421633.adobeaemcloud.com/profuturoasesora,62,40,Total Blocking Time | First Contentful Paint | Use efficient cache lifetimes | Speed Index | Max Potential First Input Delay | Improve image delivery | Time to Interactive | Render blocking requests | Largest Contentful Paint | Forced reflow | Optimize DOM size
https://publish-p110903-e1421633.adobeaemcloud.com/profuturoasesora/afore,71,49,Optimize DOM size | Use efficient cache lifetimes | Largest Contentful Paint | First Contentful Paint | Render blocking requests | Total Blocking Time | Improve image delivery | Speed Index | Time to Interactive | Max Potential First Input Delay
https://publish-p110903-e1421633.adobeaemcloud.com/profuturoasesora/resultados-profuturo-asesora,69,46,Total Blocking Time | Time to Interactive | First Contentful Paint | Largest Contentful Paint | Speed Index | Render blocking requests | Use efficient cache lifetimes | Max Potential First Input Delay | Improve image delivery
https://publish-p110903-e1421633.adobeaemcloud.com/trabaja-en-profuturo,65,51,Speed Index | Largest Contentful Paint | Time to Interactive | Max Potential First Input Delay | First Contentful Paint | Total Blocking Time | Use efficient cache lifetimes | Render blocking requests | Improve image delivery
